id_date,date
1,2020-03-03 12:00:00
2,2020-03-02 12:00:00
3,2020-03-01 12:00:00
4,2020-02-29 12:00:00
5,2020-02-28 12:00:00
6,2020-02-27 12:00:00
7,2020-02-26 12:00:00
8,2020-02-25 12:00:00
9,2020-02-24 12:00:00
10,2020-02-23 12:00:00
11,2020-02-22 12:00:00
12,2020-02-21 12:00:00
13,2020-02-20 12:00:00
14,2020-02-19 12:00:00
15,2020-02-18 12:00:00
16,2020-02-17 12:00:00
17,2020-02-16 12:00:00
18,2020-02-15 12:00:00
19,2020-02-14 11:23:00
20,2020-02-13 09:15:00
21,2020-02-13 10:00:00
22,2020-02-12 10:00:00
23,2020-02-12 10:20:00
24,2020-02-11 08:44:00
25,2020-02-11 10:50:00
26,2020-02-10 10:30:00
27,2020-02-10 07:30:00
28,2020-02-09 10:30:00
29,2020-02-08 11:09:00
30,2020-02-08 03:40:00
31,2020-02-07 08:13:00
32,2020-02-06 08:05:00
33,2020-02-06 01:18:00
34,2020-02-05 12:20:00
35,2020-02-04 10:00:00
36,2020-02-04 11:50:00
37,2020-02-04 08:00:00
38,2020-02-03 09:40:00
39,2020-02-03 12:30:00
40,2020-02-02 09:00:00
41,2020-02-02 07:45:00
42,2020-02-02 05:00:00
43,2020-02-01 11:00:00
44,2020-02-01 06:00:00
45,2020-02-01 10:00:00
46,2020-01-31 02:00:00
47,2020-01-30 09:30:00
48,2020-01-30 11:00:00
49,2020-01-29 09:00:00
50,2020-01-29 02:30:00
51,2020-01-29 01:30:00
52,2020-01-28 11:00:00
53,2020-01-28 06:00:00
54,2020-01-28 01:00:00
55,2020-01-27 08:30:00
56,2020-01-27 07:00:00
57,2020-01-27 09:00:00
58,2020-01-26 11:00:00
59,2020-01-25 10:00:00
60,2020-01-25 12:00:00
61,2020-01-24 12:00:00
62,2020-01-23 12:00:00
63,2020-01-22 12:00:00
