id_timezone,timezone
1,GMT+1:00 Europe/Andorra
2,GMT+04:00 Asia/Dubai
3,GMT+04:00 Asia/Muscat
4,GMT-03:00 America/Argentina/Bu
5,GMT+1:00 Europe/Vienna
6,GMT+10:00 Australia/Sydney
7,GMT+10:00 Australia/Brisbane
8,GMT+10:00 Australia/Melbourne
9,GMT-04:00 America/Oranjestad
10,GMT+4:00 Asia/Baku
11,GMT+1:00 Europe/Brussels
12,GMT+2:00 Europe/Sofia
13,GMT+000000 Asia/Bahrain
14,GMT+08:00 Asia/Kuala_Lumpur
15,GMT+000000 America/La_Paz
16,GMT-03:00 America/Sao_Paulo
17,GMT-05:00 America/Nassau
18,GMT-07:00 America/Edmonton
19,GMT-08:00 America/Vancouver
20,GMT+000000 America/Dawson_Cree
21,GMT-06:00 America/Winnipeg
22,GMT-04:00 America/Moncton
23,GMT-03:30 America/St_Johns
24,GMT-04:00 America/Halifax
25,GMT-05:00 America/Toronto
26,GMT-06:00 America/Rainy_River
27,GMT-05:00 America/New_York
28,GMT-05:00 America/Montreal
29,GMT-06:00 America/Regina
30,GMT+1:00 Europe/Zurich
31,GMT+1:00 Europe/Berlin
32,GMT+1:00 Europe/Paris
33,GMT-04:00 America/Santiago
34,GMT+08:00 Asia/Beijing
35,GMT+08:00 Asia/Macau
36,GMT+000000 America/Bogota
37,GMT+000000 America/Costa_Rica
38,GMT-04:00 America/Willemstad
39,GMT+2:00 Asia/Nicosia
40,GMT+1:00 Europe/Prague
41,GMT+1:00 Europe/Copenhagen
42,GMT+2:00 Africa/Cairo
43,GMT+1:00 Europe/Madrid
44,GMT+0:00 Atlantic/Canary
45,GMT+2:00 Europe/Helsinki
46,GMT+0:00 Europe/London
47,GMT+2:00 Europe/Athens
48,GMT+000000 America/Tegucigalpa
49,GMT+1:00 Europe/Budapest
50,GMT+000000 Asia/Makassar
51,GMT+07:00 Asia/Jakarta
52,GMT+0:00 Europe/Dublin
53,GMT+05:30 Asia/New_Delhi
54,GMT+2:00 Asia/Gaza
55,GMT+09:00 Asia/Tokyo
56,GMT+000000 Asia/Phnom_Penh
57,GMT+09:00 Asia/Seoul
58,GMT+000000 Asia/Kuwait
59,GMT+000000 Asia/Almaty
60,GMT+2:00 Asia/Beirut
61,GMT+2:00 Asia/Jerusalem
62,GMT+1:00 Europe/Luxembourg
63,GMT+000000 Africa/Casablanca
64,GMT+1:00 Europe/Monaco
65,GMT-06:00 America/Mexico_City
66,GMT-08:00 America/Tijuana
67,GMT-07:00 America/Hermosillo
68,GMT-07:00 America/Chihuahua
69,GMT+000000 Asia/Kuching
70,GMT+1:00 Europe/Amsterdam
71,GMT+1:00 Europe/Oslo
72,GMT+12:00 Pacific/Auckland
73,GMT+000000 America/Panama
74,GMT-05:00 America/Lima
75,GMT+08:00 Asia/Manila
76,GMT+1:00 Europe/Warsaw
77,GMT-04:00 America/Puerto_Rico
78,GMT+0:00 Europe/Lisbon
79,GMT+03:00 Asia/Qatar
80,GMT+2:00 Europe/Bucharest
81,GMT+3:00 Europe/Moscow
82,GMT+4:00 Europe/Samara
83,GMT+5:00 Asia/Yekaterinburg
84,GMT+03:00 Asia/Riyadh
85,GMT+1:00 Europe/Stockholm
86,GMT+000000 America/El_Salvador
87,GMT+07:00 Asia/Bangkok
88,GMT+2:00 Asia/Istanbul
89,GMT+000000 Etc/GMT+2
90,GMT+2:00 Europe/Istanbul
91,GMT+000000 America/Port_of_Spa
92,GMT+08:00 Asia/Taipei
93,GMT-09:00 America/Anchorage
94,GMT-06:00 America/Chicago
95,GMT+000000 America/Phoenix
96,GMT-07:00 America/Denver
97,GMT-08:00 America/Los_Angeles
98,GMT-10:00 Pacific/Honolulu
99,GMT-05:00 America/Indianapolis
100,GMT+000000 Asia/Saigon
101,GMT+000000 Africa/Johannesburg
